mutant_id,description,detected,scenario_ids_that_caught_it,f1_delta_vs_b2
M11,Make currency comparison case-insensitive,true,S008::currency-lower;S009::currency-lower;S010::currency-lower;S070::amount-max;S070::amount-minus001;S070::amount-minus1;S070::amount-plus001;S070::amount-plus1;S070::amount-zero;S070::currency-lower;S070::extra-field;S078::currency-lower;S079::currency-lower;S080::currency-lower;S083::currency-lower;S084::currency-lower,-0.00974421437271622
M12,Introduce off-by-one maximum amount boundary,true,S008::amount-max;S009::amount-max;S010::amount-max;S010::currency-usd;S010::extra-field;S078::amount-max;S079::amount-max;S080::amount-max;S080::currency-usd;S080::extra-field;S081::amount-max;S082::amount-max;S083::amount-max;S084::amount-max;S084::currency-usd;S084::extra-field;S085::amount-max;S085::amount-minus1,-0.010739856801909364
M13,Introduce off-by-one minimum amount boundary,true,S008::amount-zero;S009::amount-zero;S010::amount-zero;S078::amount-zero;S079::amount-zero;S079::currency-usd;S079::extra-field;S080::amount-zero;S081::amount-zero;S082::amount-zero;S083::amount-zero;S084::amount-zero;S085::amount-zero,-0.007779772591262724
M14,Disable duplicate-create state check,true,S137::duplicate-create;S137::unknown-event;S138::duplicate-create;S138::unknown-event;S140::duplicate-create;S140::unknown-event;S141::duplicate-create;S141::unknown-event;S142::duplicate-create;S142::unknown-event;S143::duplicate-create;S143::unknown-event;S144::duplicate-create;S144::unknown-event;S145::duplicate-create;S145::unknown-event;S146::duplicate-create;S146::unknown-event;S147::duplicate-create;S147::unknown-event;S148::duplicate-create;S148::unknown-event;S149::duplicate-create;S149::unknown-event;S150::duplicate-create;S150::unknown-event,
M15,Disable refund replay state check,true,S137::duplicate-create;S137::replay;S137::unknown-event;S138::duplicate-create;S138::unknown-event;S140::duplicate-create;S140::replay;S140::unknown-event;S141::duplicate-create;S141::replay;S141::unknown-event;S142::duplicate-create;S142::replay;S142::unknown-event;S143::duplicate-create;S143::unknown-event;S144::duplicate-create;S144::unknown-event;S145::duplicate-create;S145::replay;S145::unknown-event;S146::duplicate-create;S146::replay;S146::unknown-event;S147::duplicate-create;S147::replay;S147::unknown-event;S148::duplicate-create;S148::unknown-event;S149::duplicate-create;S149::unknown-event;S150::duplicate-create;S150::replay;S150::unknown-event,
M16,Allow refund without prior create,true,S137::duplicate-create;S137::missing-create;S137::unknown-event;S137::wrong-object;S138::duplicate-create;S138::missing-create;S138::unknown-event;S138::wrong-object;S140::duplicate-create;S140::missing-create;S140::unknown-event;S140::wrong-object;S141::duplicate-create;S141::missing-create;S141::unknown-event;S141::wrong-object;S142::duplicate-create;S142::missing-create;S142::unknown-event;S142::wrong-object;S143::duplicate-create;S143::missing-create;S143::unknown-event;S143::wrong-object;S144::duplicate-create;S144::missing-create;S144::unknown-event;S144::wrong-object;S145::duplicate-create;S145::missing-create;S145::unknown-event;S145::wrong-object;S146::duplicate-create;S146::missing-create;S146::unknown-event;S146::wrong-object;S147::duplicate-create;S147::missing-create;S147::unknown-event;S147::wrong-object;S148::duplicate-create;S148::missing-create;S148::unknown-event;S148::wrong-object;S149::duplicate-create;S149::missing-create;S149::unknown-event;S149::wrong-object;S150::duplicate-create;S150::missing-create;S150::unknown-event;S150::wrong-object,
M17,Ignore transaction identity during state evaluation,true,S137::duplicate-create,
M18,Allow malformed requests to proceed,true,S111::raw-malformed-json;S112::raw-malformed-json;S113::raw-malformed-json;S114::raw-malformed-json;S115::raw-malformed-json;S116::raw-malformed-json;S117::raw-malformed-json;S118::raw-malformed-json;S119::raw-malformed-json;S120::raw-malformed-json,-0.0060679611650484855
M19,Allow identity substitution for file access,true,S028::extra-field;S028::path-dot-normalization;S028::path-traversal;S030::extra-field;S030::path-dot-normalization;S030::path-traversal;S034::extra-field;S034::path-dot-normalization;S034::path-traversal;S036::extra-field;S036::path-dot-normalization;S036::path-traversal;S038::extra-field;S038::path-dot-normalization;S038::path-traversal;S040::extra-field;S040::path-dot-normalization;S040::path-traversal,-0.01097560975609746
M20,Race-style state check/commit weakening,true,S137::duplicate-create;S137::missing-create;S137::replay;S137::unknown-event;S137::wrong-object;S138::duplicate-create;S138::missing-create;S138::replay;S138::unknown-event;S138::wrong-object;S140::duplicate-create;S140::missing-create;S140::replay;S140::unknown-event;S140::wrong-object;S141::duplicate-create;S141::missing-create;S141::replay;S141::unknown-event;S141::wrong-object;S142::duplicate-create;S142::missing-create;S142::replay;S142::unknown-event;S142::wrong-object;S143::duplicate-create;S143::missing-create;S143::replay;S143::unknown-event;S143::wrong-object;S144::duplicate-create;S144::missing-create;S144::replay;S144::unknown-event;S144::wrong-object;S145::duplicate-create;S145::missing-create;S145::replay;S145::unknown-event;S145::wrong-object;S146::duplicate-create;S146::missing-create;S146::replay;S146::unknown-event;S146::wrong-object;S147::duplicate-create;S147::missing-create;S147::replay;S147::unknown-event;S147::wrong-object;S148::duplicate-create;S148::missing-create;S148::replay;S148::unknown-event;S148::wrong-object;S149::duplicate-create;S149::missing-create;S149::replay;S149::unknown-event;S149::wrong-object;S150::duplicate-create;S150::missing-create;S150::replay;S150::unknown-event;S150::wrong-object,
